,acousticness,artists,danceability,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year,decade,popularity_score,main_artist,duration_minutes
18662,0.0489,['Ariana Grande'],0.525,0.621,0,0lizgQ7Qw35od7CYaoMBZb,0.0,7,0.294,-7.364,1,Santa Tell Me,88,0.1159999999999999,191.9,0.591,2014,2010,80,Ariana Grande,3.40155
19462,0.0769,['Juice WRLD'],0.6709999999999999,0.529,1,4VXIryQMWpIdGgYR4TrjT1,0.000335,0,0.0856,-7.226,1,All Girls Are The Same,87,0.307,161.989,0.203,2018,2010,80,Juice WRLD,2.7636666666666665
19464,0.349,['Juice WRLD'],0.511,0.5660000000000001,1,285pBltuF7vW8TeWk8hdRR,0.0,6,0.34,-7.23,0,Lucid Dreams,88,0.2,83.90299999999998,0.218,2018,2010,80,Juice WRLD,3.9972666666666665
19664,0.3279999999999999,['Juice WRLD'],0.685,0.6920000000000001,1,6Hj9jySrnFppAI0sEMCZpJ,0.0,2,0.153,-5.122000000000001,1,Robbery,87,0.0457,159.966,0.578,2019,2010,80,Juice WRLD,4.00085
19730,0.5920000000000001,['Ariana Grande'],0.778,0.317,1,6ocbgoVGwYJhOv1GgI9NsF,0.0,1,0.0881,-10.732,0,7 rings,86,0.3339999999999999,140.048,0.327,2019,2010,80,Ariana Grande,2.977116666666667
19866,0.4679999999999999,['Ariana Grande'],0.737,0.802,1,35mvY5S1H3J2QZyna3TFe0,0.0,0,0.0931,-4.771,1,positions,96,0.0878,144.015,0.682,2020,2020,90,Ariana Grande,2.8720833333333333
19868,0.237,['Ariana Grande'],0.83,0.585,1,6Im9k8u9iIzKMrmV7BWtlF,0.0,0,0.248,-6.476,1,34+35,94,0.094,109.978,0.485,2020,2020,90,Ariana Grande,2.895183333333333
19874,0.114,"['Pop Smoke', 'Lil Baby', 'DaBaby']",0.823,0.586,1,0PvFJmanyNQMseIFrU708S,0.0,6,0.193,-6.606,0,For The Night (feat. Lil Baby & DaBaby),91,0.2,125.971,0.347,2020,2020,90,Pop Smoke,3.1746
19878,0.65,['Pop Smoke'],0.7090000000000001,0.5479999999999999,1,1tkg4EHVoqnhR6iFEXb60y,1.59e-06,10,0.133,-8.493,1,What You Know Bout Love,93,0.353,83.995,0.5429999999999999,2020,2020,90,Pop Smoke,2.6666666666666665
19890,0.00336,['Juice WRLD'],0.65,0.613,1,2U5WueTLIK5WJLD7mvDODv,0.0,9,0.267,-6.13,0,Wishing Well,88,0.128,149.972,0.0804,2020,2020,80,Juice WRLD,3.2436833333333333
19898,0.833,['Taylor Swift'],0.392,0.574,0,0lx2cLdOt3piJbcaXIV74f,0.00179,7,0.145,-9.195,1,willow,89,0.17,81.112,0.529,2020,2020,80,Taylor Swift,3.57845
19904,0.0663,"['Juice WRLD', 'The Kid LAROI']",0.613,0.631,1,5YSHygGN9D0mID1NsVd5my,0.0,4,0.1689999999999999,-6.965,1,Reminds Me Of You,87,0.12,149.99200000000005,0.33,2020,2020,80,Juice WRLD,2.6338833333333334
19906,0.0187,"['Pop Smoke', 'A Boogie Wit da Hoodie']",0.905,0.647,1,2r6OAV3WsYtXuXjvJ1lIDi,0.0,10,0.282,-5.065,0,Hello (feat. A Boogie Wit da Hoodie),87,0.107,130.97,0.3670000000000001,2020,2020,80,Pop Smoke,3.175566666666666
19910,0.0172,"['Juice WRLD', 'Marshmello']",0.625,0.8140000000000001,1,2Y0wPrPQBrGhoLn14xRYCG,0.0,0,0.158,-5.181,1,Come & Go (with Marshmello),86,0.0657,144.991,0.535,2020,2020,80,Juice WRLD,3.42475
19944,0.36,['Ariana Grande'],0.487,0.534,0,3UoULw70kMsiVXxW0L3A33,0.0,0,0.1,-5.664,0,pov,87,0.0555,131.798,0.173,2020,2020,80,Ariana Grande,3.3647
19962,0.487,"['Pop Smoke', 'Lil Tjay']",0.48,0.602,1,5rZlwNFl01HqLWBQGryKSm,0.0,10,0.0848,-6.335,0,Mood Swings (feat. Lil Tjay),87,0.368,179.798,0.2689999999999999,2020,2020,80,Pop Smoke,3.55555
39248,0.223,"['Ariana Grande', 'Justin Bieber']",0.597,0.45,0,4HBZA5flZLE435QTztThqH,0.0,8,0.382,-6.658,1,Stuck with U (with Justin Bieber),87,0.0418,178.765,0.537,2020,2020,80,Ariana Grande,3.808033333333333
